Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Diet,19,ABCA1,ATP binding cassette subfamily A member 1,TGD ABC1 CERP ABC-1 HDLDT1,9,21130
Diet,85320,ABCC11,ATP binding cassette subfamily C member 11,WW EWWD MRP8,16,69511
Diet,31,ACACA,acetyl-CoA carboxylase alpha,ACC ACAC ACC1 ACCA ACACAD,17,31015
Diet,1636,ACE,Angiotensin I converting enzyme,DCP ACE1 DCP1 CD143,17,37351
Diet,59272,ACE2,angiotensin I converting enzyme 2,ACEH,X,41448
Diet,6868,ADAM17,ADAM metallopeptidase domain 17,CSVP TACE NISBD ADAM18 CD156B NISBD1,2,2395
Diet,116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),PACAP,18,869
Diet,9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ACDC ADPN APM1 APM-1 GBP28 ACRP30 ADIPQTL1,3,3525
Diet,177,AGER,advanced glycosylation end product-specific receptor,RAGE,6,883
Diet,197,AHSG,alpha-2-HS-glycoprotein,AHS A2HS HSGA FETUA,3,1225
Diet,213,ALB,albumin,"FDAH,  ALBA,  PRO0883,  PRO0903,  PRO1341",4,405
Diet,217,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),ALDM ALDHI ALDH-E2,12,55480
Diet,283,ANG,"angiogenin, ribonuclease, RNase A family, 5",ALS9 RAA1 HEL168 RNASE4 RNASE5,14,74385
Diet,314,AOC2,"amine oxidase, copper containing 2",RAO DAO2,17,56457
Diet,348,APOE,apolipoprotein E,AD2 LPG APO-E LDLCQ5,19,30951
Diet,359,AQP2,aquaporin 2 (collecting duct),AQP-CD WCH-CD,12,20137
Diet,367,AR,androgen receptor,KD AIS AR8 TFM DHTR SBMA HYSP1 NR3C4 SMAX1 HUMARA,X,28
Diet,468,ATF4,activating transription factor 4,"CREB2, TXREB, CREB-2, TAXREB67",22,1266
Diet,551,AVP,arginine vasopressin,VP ADH ARVP AVRP AVP-NPII,20,417
Diet,596,BCL2,B-cell CLL/lymphoma 2,Bcl-2 PPP1R50,18,527
Diet,632,BGLAP,bone gamma-carboxyglutamate (gla) protein,OC BGP OCN,1,104130
Diet,655,BMP7,bone morphogenetic protein 7,OP-1,20,20410
Diet,847,CAT,catalase,,11,55514
Diet,885,CCK,cholecystokinin,,3,583
Diet,6347,CCL2,chemokine (C-C motif) ligand 2,HC11 MCAF MCP1 MCP-1 SCYA2 GDCF-2 SMC-CF HSMCR30,17,2245
Diet,6364,CCL20,chemokine (C-C motif) ligand 20,"CKb4, LARC, ST38, MIP3A, MIP-3a, SCYA20, MIP-3-alp",2,3375
Diet,729230,CCR2,chemokine (C-C motif) receptor 2,CKR2 CCR-2 CCR2A CCR2B CD192 CKR2A CKR2B CMKBR2 MCP-1-R CC-CKR-2,3,537
Diet,1234,CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),CKR5 CCR-5 CD195 CKR-5 CCCKR5 CMKBR5 IDDM22 CC-CKR-5,3,37325
Diet,948,CD36,CD36 molecule (thrombospondin receptor),FAT GP4 GP3B GPIV CHDS7 PASIV SCARB3 BDPLT10,7,73871
Diet,968,CD68,CD68 molecule,GP110 LAMP4 SCARD1,17,955
Diet,969,CD69,CD69 molecule,AIM EA1 MLR-3 CLEC2C GP32/28 BL-AC/P26,12,128584
Diet,941,CD80,CD80 molecule,B7 BB1 B7-1 B7.1 LAB7 CD28LG CD28LG1,3,3804
Diet,54901,CDKAL1,CDK5 regulatory subunit associated protein 1-like 1,,6,9830
Diet,1116,CHI3L1,chitinase 3 like 1,GP39 ASRT7 GP-39 YKL40 CGP-39 YKL-40 YYL-40 HC-gp39 HCGP-3P hCGP-39,1,55569
Diet,1215,CMA1,"chymase 1, mast cell",CYH MCT1 chymase,14,55606
Diet,1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,p38 CRKII,17,81850
Diet,1401,CRP,"C-reactive protein, pentraxin-related",PTX1,1,128039
Diet,1433,CSE,"choreoathetosis/spasticity, episodic (paroxysmal choreoathetosis/spasticity)",DYT9,1,NA
Diet,1490,CTGF,connective tissue growth factor,CCN2 NOV2 HCS24 IGFBP8,6,1431
Diet,1524,CX3CR1,chemokine (C-X3-C motif) receptor 1,V28 CCRL1 GPR13 CMKDR1 GPRV28 CMKBRL1,3,20350
Diet,3627,CXCL10,chemokine (C-X-C motif) ligand 10,C7 IFI10 INP10 IP-10 crg-2 mob-1 SCYB10 gIP-10,4,1203
Diet,6374,CXCL5,chemokine (C-X-C motif) ligand 5,"SCYB5, E-78",4,88672
Diet,1573,CYP2J2,cytochrome P450 family 2 subfamily J member 2,CPJ2,1,68091
Diet,1649,DDIT3,D-damage-inducible transcript 3,"CHOP,  CEBPZ,  CHOP10,  CHOP-10,  GADD153",12,3012
Diet,1803,DPP4,dipeptidyl-peptidase 4,CD26 ADABP ADCP2 DPPIV TP103,2,3279
Diet,1956,EGFR,epidermal growth factor receptor,ERBB HER1 mENA ERBB1 PIG61 NISBD2,7,74545
Diet,2056,EPO,erythropoietin,EP MVCD2,7,624
Diet,2057,EPOR,erythropoietin receptor,EPO-R,19,95
Diet,2168,FABP1,"fatty acid binding protein 1, liver",FABPL L-FABP,2,1106
Diet,2169,FABP2,fatty acid binding protein 2,"FABPI,  I-FABP",4,107
Diet,2167,FABP4,"fatty acid binding protein 4, adipocyte",aP2 ALBP AFABP A-FABP HEL-S-104,8,36067
Diet,2194,FASN,fatty acid synthase,FAS OA-519 SDR27X1,17,55800
Diet,26291,FGF21,fibroblast growth factor 21,,19,10428
Diet,8074,FGF23,fibroblast growth factor 23,ADHR FGFN HYPF HPDR2 PHPTC,12,10771
Diet,79068,FTO,fat mass and Obesity associated,GDFD ALKBH9,16,8053
Diet,2539,G6PD,glucose-6-phosphate dehydrogenase,G6PD1,X,37906
Diet,2641,GCG,glucagon,"GLP1,GLP2,GRPP",2,136497
Diet,2645,GCK,glucokinase (hexokinase 4),GK GLK HK4 HHF3 HKIV HXKP LGLK MODY2 FGQTL3,7,55440
Diet,2678,GGT1,gamma-glutamyltransferase 1,GGT GTG CD224 GGT 1 D22S672 D22S732,22,68450
Diet,2693,GHSR,growth hormone secretagogue receptor,GHDP,3,57161
Diet,3082,HGF,hepatocyte growth factor (hepapoietin A; scatter factor),SF HGFB HPTA F-TCF DFNB39,7,503
Diet,3146,HMGB1,high mobility group box 1,HMG1 HMG3 HMG-1 SBP-1,13,110676
Diet,3158,HMGCS2,3-hydroxy-3-methyglutaryl-CoC synthase 2 (mitochondrial),NA,1,38066
Diet,6927,HNF1A,HNF1 homeobox A,HNF1 LFB1 TCF1 MODY3 TCF-1 HNF-1A IDDM20,12,459
Diet,3172,HNF4A,"hepatocyte nuclear factor 4, alpha",TCF HNF4 MODY FRTS4 MODY1 NR2A1 TCF14 HNF4a7 HNF4a8 HNF4a9 NR2A21 HNF4alpha,20,395
Diet,3309,HSPA5,heat shock protein family A (Hsp70) member 5,BIP MIF2 GRP78 HEL-S-89n,9,3908
Diet,3356,HTR2A,"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled",HTR2 5-HT2A,13,68073
Diet,3479,IGF1,insulin like growth factor 1,MGF IGFI IGF-I,12,515
Diet,3586,IL10,interleukin 10,CSIF TGIF GVHDS IL-10 IL10A,1,478
Diet,3605,IL17A,interleukin 17A,"IL17,  CTLA8,  IL-17,  CTLA-8,  IL-17A",6,1651
Diet,3569,IL6,interleukin 6,CDF HGF HSF BSF2 IL-6 BSF-2 IFNB2 IFN-beta-2,7,502
Diet,3630,INS,insulin,IDDM ILPR IRDN IDDM1 IDDM2 MODY10,11,173
Diet,8660,IRS2,insulin receptor substrate 2,IRS-2,13,2778
Diet,7071,KLF10,Kruppel like factor 10 ,EGRA TIEG TIEG1 EGR-alpha,8,4135
Diet,3827,KNG1,kininogen 1,BK BDK KNG,3,88343
Diet,3949,LDLR,low density lipoprotein receptor,FH FHC LDLCQ2,19,55469
Diet,4023,LPL,lipoprotein lipase,LIPD HDLCQ11,8,200
Diet,4040,LRP6,LDL receptor related protein 6,ADCAD2,12,1747
Diet,4153,MBL2,"mannose-binding lectin (protein C) 2, soluble",MBL MBP MBP1 MBPD MBL2D MBP-C COLEC1 HSMBPC,10,110436
Diet,4160,MC4R,melanocortin 4 receptor,,18,4320
Diet,4282,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor),GIF GLIF MMIF,22,55655
Diet,4323,MMP14,matrix metallopeptidase 14,MMP-14 MMP-X1 MT-MMP MT1MMP MTMMP1 WNCHRS MT1-MMP MT-MMP 1,14,21040
Diet,4353,MPO,myeloperoxidase,,17,55450
Diet,4524,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),,1,4349
Diet,4803,NGF,nerve growth factor (beta polypeptide),NGFB HSAN5 Beta-NGF,1,1876
Diet,114548,NLRP3,"NLR family, pyrin domain containing 3",AII AVP FCU MWS FCAS CIAS1 FCAS1 NALP3 C1orf7 CLR1.1 PYPAF1 AGTAVPRL,1,3600
Diet,64127,NOD2,nucleotide binding oligomerization domain containing 2,CD ACUG BLAU IBD1 NLRC2 NOD2B CARD15 CLR16.3 PSORAS1,16,11156
Diet,4842,NOS1,nitric oxide synthase 1 (neuronal),"NOS,  bNOS,  nNOS,  IHPS1,  N-NOS,  NC-NOS",12,37327
Diet,4843,NOS2,nitric oxide synthase 2,NOS INOS NOS2A HEP-NOS,17,55473
Diet,4846,NOS3,nitric oxide synthase 3,"eNOS,  ECNOS",7,504
Diet,4868,NPHS1,"nephrosis 1, congenital, Finnish type (nephrin)",CNF NPHN nephrin,19,20974
Diet,4852,NPY,neuropeptide Y,PYY4,7,697
Diet,5091,PC,pyruvate carboxylase,PCB,11,5422
Diet,9463,PICK1,protein interacting with PRKCA 1,PICK PRKCABP,22,7470
Diet,5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","MCM,  CWS5,  MCAP,  PI3K,  CLOVE,  MCMTC,  p110-alpha",3,21249
