Complications,Gene,Theme 1,Theme 2,Theme 3,Theme 4,Observation1,Observation2,Observation3,Observation4,PMID1,PMID2,PMID3,PMID4
Nephropathy,ABCA1,Diet,Inflammation,Obesity,,"1.Overexpression of ABCA1 in mice on a regular chow or Western diet results in a marked increase in plasma HDL, increased LDL, and increased transport of cholesterol to the liver.","1. Loss of both ABCA1 and ABCG1 results in increased disturbances in islet sterol homeostasis, inflammation, and impaired beta-cell function.","1.A frequent cholesterol transporter ABCA1 (ATP-binding cassette transporter A1) gene variant (R230C, rs9282541) apparently exclusive to Native American individuals was associated with low high-density lipoprotein cholesterol (HDL-C) levels, obesity and type 2  diabetes in Mexican Mestizos.",,12948871,22315310,20418488,
Nephropathy,ABCC11,Diet,Inflammation,Obesity,,1.Gene expression of MRP8 and Tlr4 is further upregulated during worsening of STZ-induced DN by a high fat diet (HFD).,"1.  Glomerular MRP8 expression appears to be associated with progression of proteinuria in obese or type 2 diabetic patients, possibly by inducing inflammatory changes in macrophages through TLR4 signaling.","1.Glomerular MRP8 expression appears to be associated with progression of proteinuria in obese or type 2 diabetic patients, possibly by inducing inflammatory changes in macrophages through TLR4 signaling.",,24357461,24558454,24558454,
Nephropathy,ABCG1,Inflammation,,,,"1.Loss of both ABCA1 and ABCG1 results in increased disturbances in islet sterol homeostasis, inflammation, and impaired beta-cell function.",,,,22315310,,,
Nephropathy,ACACA,Diet,Obesity,Stress,,"1.Tfm mice on normal diet had increased lipid accumulation compared to littermates but significantly less than cholesterol-fed Tfm mice and demonstrated increased gene expression of  hormone sensitive lipase, stearyl-CoA desaturase-1 and peroxisome proliferator-activated receptor-gamma but FASN and ACACA were not altered.","1. ACAT1, ACACA, ALDH6A1 and MTHFD1 represent novel biomarkers in adipose tissue associated with type 2 diabetes in obese individuals.","1.ACC specific  activity is also rapidly modulated, being increased in response to insulin and decreased following exposure of cells to catabolic hormones or environmental stress.",,24953607,25099943,16545081,
Nephropathy,ACACB,Inflammation,Obesity,,,1.The present data suggest that the ACACB gene C>T polymorphism may therefore be associated with chronic inflammation in this population.,1. An ACACB variant implicated in diabetic nephropathy associates with body mass index and gene expression in obese subjects.,,,21553357,23460794,,
Nephropathy,ACE2,Diet,Inflammation,Obesity,Stress,"1.In conclusion, these results show that ACE2 deficiency deteriorates islet function of mice with long-term HFD via impairment  of islet microvasculature.","1. In atherosclerosis-prone apolipoprotein E knockout  mice, ACE2 deficiency results in augmented vascular inflammation and an inflammatory response that contributes to increased atherosclerotic plaque formation.","1.Using 8- and 16-week-old obese db/db mice, we examined  the ability of ACE2 to alter pancreatic beta-cell function and thereby modulate hyperglycemia. 2. Angiotensin I-converting enzyme type 2 (ACE2) gene therapy improves glycemic control in diabetic mice.",1. ACE2 knockout mice displayed elevated levels of oxidative stress and exposure to  Ang-(1-7) reduced the stress in hepatic cells.,23671869,21099686,20660625,24911884
Nephropathy,ADAM17,Diet,Inflammation,Obesity,Stress,"1.To gain insights into the role of TACE in metabolic  disorders, we used Tace(+/-) mice fed a standard or high-fat diet for 16 weeks. 2.  Our results suggest that modulation of TACE activity is a new pathway to be investigated for development of agents acting against obesity and its metabolic complications.",1. The role of ADAM17  in regulating inflammatory cellular processes is clearly demonstrated in cells deficient in active ADAM17 or expressing substrates mutated for the ADAM17 cleavage site.,1.The two sides of ADAM17 in inflammation: implications in atherosclerosis and obesity. 2. The multitude of substrates cleaved by ADAM17 makes this enzyme an attractive candidate to study its role in inflammation-driven pathologies.,"1. Collectively, these data indicate a novel mechanism whereby hyperglycemia in diabetes increases extracellular matrix protein expression in the kidney cortex through activation of ADAM17 and enhanced oxidative stress through Nox enzyme activation.",17646208,19154693,19154693,23678045
Nephropathy,ADAMTS13,Stress,,,,"1. In patients with diabetes, impaired activity of ADAMTS13 (a disintegrin and metalloprotease with thrombospondin type 1 repeats, member 13), the plasma metalloprotease that cleaves highly thrombogenic von Willebrand factor multimers, is a major risk factor of cardiovascular events.The lack of ADAMTS13 drastically increased the propensity for ventricular arrhythmias during dobutamine-induced stress in diabetic mice. ",,,,29976618,,,
Nephropathy,ADCYAP1,Diet,Inflammation,Obesity,,"1.Intraperitoneal PACAP administration decreases blood glucose in GK rats, and in normal and high fat diet mice.","1. In the last decade, PACAP has been clearly identified as a potent anti-inflammatory factor that exerts its function  by regulating the production of both anti- and proinflammatory mediators.",1.The present study reveals a previously uncharacterized role of PACAP  to protect NSC from lipotoxicity and suggests a potential therapeutic role for PACAP receptor agonists in the treatment of neurological complications in obesity and diabetes.,,11193831,12794054,22183970,
Nephropathy,ADIPOQ,Diet,Inflammation,Obesity,Stress,1. ADIPOQ genetic variants can affect circulating adiponectin levels and insulin resistance indexes in subjects with IFG or newly diagnosed type 2 diabetes in response to dietary intervention.,"1. In obese patients, the decrease in the Adiponectin gene (ADIPOQ) expression has been associated with a systemic low-grade inflammatory state.",1.Adiponectin is an obesity related protein that mediates the risk of type 2 diabetes in obese individuals with its anti-inflammatory and insulin-sensitizing  properties.,"1. Thus, reduced adiponectin and increased oxidative stress play pathological roles in obesity-associated insulin resistance to increase the  cardiovascular disease risk, and various NRs may be involved in this pathogenesis.",19131459,23118546,23396303,25390017
