Gene_ID,Gene_symbol,Gene_name,Gene_aliases,Chromosome,HomoloGene ID,additional_info,additional_info
9370,ADIPOQ,"adiponectin, C1Q and","ACDC, ADPN, APM1, AP",3,3525,signaling pathway,ADIPOQ summary
51094,ADIPOR1,adiponectin receptor,"CGI45, PAQR1, ACDCR1",1,69199,signaling pathway,ADIPOR1 summary
79602,ADIPOR2,adiponectin receptor,"PAQR2, ACDCR2",12,56119,signaling pathway,ADIPOR2 summary
155,ADRB3,adrenoceptor beta 3,BETA3AR,8,37250,,ADRB3 summary
185,AGTR1,angiotensin II recep,"AT1, AG2S, AT1B, AT1",3,3556,,AGTR1 summary
197,AHSG,alpha-2-HS-glycoprot,"AHS, A2HS, HSGA, FET",3,1225,,AHSG summary
208,AKT2,v-akt murine thymoma,"PKBB, PRKBB, HIHGHH,",19,48773,,AKT2 summary
217,ALDH2,aldehyde dehydrogena,"ALDM, ALDHI, ALDH-E2",12,55480,,ALDH2 summary
309,ANXA6,annexin A6,"ANX6, CBP68",5,55558,,ANXA6 summary
348,APOE,apolipoprotein E,"AD2, LPG, LDLCQ5",19,30951,,APOE summary
364,AQP7,aquaporin 7,"AQP9, AQP7L, AQPap, ",9,48000,signaling pathway,AQP7 summary
6347,CCL2,chemokine (C-C motif,"HC11, MCAF, MCP1, MC",17,2245,signaling pathway,CCL2 summary
901,CCNG2,cyclin G2,,4,3208,,CCNG2 summary
1234,CCR5,chemokine (C-C motif,"CKR5, CCR-5, CD195, ",3,37325,signaling pathway,CCR5 summary
948,CD36,CD36 molecule (throm,"FAT, GP4, GP3B, GPIV",7,73871,signaling pathway,CD36 summary
952,CD38,CD38 molecule,T10,4,1345,,CD38 summary
1019,CDK4,cyclin-dependent kin,"CMM3, PSK-J3",12,55429,,CDK4 summary
1071,CETP,cholesteryl ester tr,"BPIFF, HDLCQ10",16,47904,,CETP summary
1401,CRP,"C-reactive protein, ",PTX1,1,128039,,CRP summary
6376,CX3CL1,chemokine (C-X3-C mo,"NTN, NTT, CXC3, CXC3",16,2251,signaling pathway,CX3CL1 summary
3579,CXCR2,chemokine (C-X-C mot,"CD182, IL8R2, IL8RA,",2,10439,signaling pathway,CXCR2 summary
1528,CYB5A,cytochrome b5 type A,"CYB5, MCB5",18,41475,,CYB5A summary
1535,CYBA,"cytochrome b-245, al",p22-PHOX,16,80,,CYBA summary
9451,EIF2AK3,eukaryotic translati,"PEK, WRS, PERK",2,3557,,EIF2AK3 summary
5167,ENPP1,ectonucleotide pyrop,"M6S1, NPP1, NPPS, PC",6,38151,,ENPP1 summary
26291,FGF21,fibroblast growth fa,,19,10428,,FGF21 summary
11167,FSTL1,follistatin-like 1,"FRP, FSL1, MIR198",3,5144,,FSTL1 summary
