Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Diet,ABCC11,85320,ATP binding cassette,"WW, EWWD, MRP8",16,69511
Diet,ACE,1636,Angiotensin I conver,DCP ACE1 DCP1 CD143,17,37351
Diet,ACE2,59272,angiotensin I conver,ACEH,X,41448
Diet,ADIPOQ,9370,"adiponectin, C1Q and","ACDC,  ADPN,  APM1,  APM-1,  GBP28,  ACRP30,  ADIP",3,3525
Diet,AQP1,358,aquaporin 1 (Colton ,"CO,  CHIP28,  AQP-CHIP",7,68051
Diet,ATF4,468,activating transript,"CREB2, TXREB, CREB-2, TAXREB67",22,1266
Diet,BDNF,627,brain-derived neurot,"ANON2, BULN2",11,7245
Diet,CAT,847,catalase,,11,55514
Diet,CCL2,6347,chemokine (C-C motif,"HC11, MCAF, MCP1, MCP-1, SCYA2, GDCF-2, SMC-CF, HS",17,2245
Diet,CRK,1398,v-crk avian sarcoma ,"p38, CRKII",17,81850
Diet,CRP,1401,"C-reactive protein, ",PTX1,1,128039
Diet,CTGF,1490,connective tissue gr,"CCN2, NOV2, HCS24, IGFBP8",6,1431
Diet,EPO,2056,erythropoietin,"EP,  MVCD2",7,624
Diet,FGF21,26291,fibroblast growth fa,NONE,19,10428
Diet,GAD1,2571,glutamate decarboxyl,"GAD, SCP, CPSQ1",2,635
Diet,GFAP,2670,glial fibrillary aci,ALXDRD,17,1554
Diet,GIPR,2696,gastric inhibitory p,PGQTL2,19,20081
Diet,IL17A,3605,interleukin 17A,"IL17,  CTLA8,  IL-17,  CTLA-8,  IL-17A",6,1651
Diet,IL1B,3553,interleukin 1 beta,IL-1 IL1F2 IL1beta IL1-BETA,2,481
Diet,INS,3630,insulin,"IDDM,  ILPR,  IRDN,  IDDM1,  IDDM2,  MODY10",11,173
Diet,IRS1,3667,insulin receptor sub,HIRS-1,2,4049
Diet,JAZF1,221895,JAZF zinc finger 1,TIP27 ZNF802,7,18291
