Complications,Gene,Theme 1,Theme 2,Theme 3,Theme 4,Observation1,Observation2,Observation3,Observation4,PMID1,PMID2,PMID3,PMID4
Cardiovascular,ABCG1,Inflammation,Obesity,Stress,,"1. Mice lacking the ATP-binding cassette transporter G1 (ABCG1) develop chronic Inflammation in the lungs, which  is associated with the lipid accumulation (cholesterol, cholesterol ester, and phospholipid) and cholesterol crystal deposition that are characteristic of atherosclerotic lesions and pulmonary alveolar proteinosis.","1. The major finding was a marked elevation in epididymal  adipose ABCG1 mRNA levels with obesity and CR (6-fold and 16-fold, respectively)  over that seen for lean wild-type mice.","1. In addition, high glucose-induced oxidative stress was reduced by the upregulation of ABCG1.",,25339664,22179025,23693076,
Cardiovascular,ACE,Diet,,,,1. The ACE rs4343 variant is a novel nutrient-sensitive type 2 diabetes risk marker potentially applicable for nutrigenetic dietary counseling.,,,,28835639,,,
Cardiovascular,ACE2,Diet,Inflammation,Stress,,1.  Loss of ACE2 exaggerates high-calorie diet-induced insulin resistance by reduction of GLUT4 in mice.,"1. In atherosclerosis-prone apolipoprotein E knockout  mice, ACE2 deficiency results in augmented vascular Inflammation and an inflammatory response that contributes to increased atherosclerotic plaque formation.",1. ACE2 knockout mice displayed elevated levels of oxidative stress and exposure to  Ang-(1-7) reduced the stress in hepatic cells.,,22933108,21099686,24911884,
Cardiovascular,ACVR1C,Obesity,,,,"1.  In obese patients, the decrease in the Adiponectin gene (ADIPOQ) expression has been associated with a systemic low-grade inflammatory state.",,,,23118546,,,
Cardiovascular,ADIPOQ,Diet,Inflammation,Obesity,Stress,"1.  Unsaturated fatty acids are ligands of PPAR- gamma, which up-regulates genes involved  in fatty acid transport and TAG synthesis and the insulin-sensitising adipokine adiponectin, which activates fatty acid beta-oxidation via PPAR-alpha action in liver.","1. In obese patients, the decrease in the Adiponectin gene (ADIPOQ) expression has been associated with a systemic low-grade inflammatory state.","1. Our data suggest that miR-221 may contribute to the development of the insulin resistance that typically accompanies obesity, by affecting PPAR signalling pathways and by directly downregulating ADIPOR1 and ETS1.",1. Adiponectin stimulates autophagy and reduces oxidative stress to enhance insulin  sensitivity during high-fat diet feeding in mice.,22040870,23118546,23756832,25071026
Cardiovascular,ADIPOR1,Obesity,,,,"1.  Decreased serum adiponectin in obese individuals and increased TNF-alpha, IL-1beta and CMC bearing RAGE, AT1 and s100A12 in obese individuals without IR were found.",,,,25470639,,,
Cardiovascular,AGER,Diet,Inflammation,Obesity,Stress,"1. HF/HS diet also triggered RAGE upregulation in the abdominal muscles while GA administration downregulated RAGE expression in the abdominal muscles, aorta and subcutaneous adipose tissues.","1. Thus, AGER is  an important inflammatory mediator that modulates crosstalk between prosurvival pathways, IL6-pSTAT3 and autophagy, in PDA tumor cells, and contributes to early  PanIN formation.  PMCID: PMC3427269",1.  Overweight/obesity may potentiate the genetic variants of the APOE4  and APOA5_'T' alleles on the risk of sHTG.,1. AGE-mediated exacerbation of RAGE expression may contribute to oxidative stress generation that plays a key role in pathogenesis of vascular complications in diabetes.,25369772,22722139,23178747,24984291
Cardiovascular,ALDH2,Diet,Inflammation,Stress,,"1.Therefore, we conclude that reduced ALDH2 activity may contribute to cardiac  hypertrophy and dysfunction in mice presenting with some of the characteristics of metabolic syndrome/type-2 DM when on a high-fat diet and low-dose STZ injection.","1. These findings suggest that the ALDH2 polymorphism is associated with an increased risk of T2DM in female CAD patients, and this association could be causal on the basis of the association between the polymorphism and FPG, which is partly explained by an increased inflammatory status.","1. In conclusion, our results indicated that cardiac ALDH2  activity was further decreased with the progression of diabetes, which might be related to the increase of oxidative stress, inflammatory injury and the occurrence of apoptosis.",,24651616,19876063,23778688,
Cardiovascular,ALPK1,Inflammation,,,,"1. Taken together, this data suggests that the balance between ALPK1 and testosterone plays a critical role in the testosterone-mediated inhibition of proinflammatory cytokines.",,,,26275947,,,
Cardiovascular,APOE,Diet,Obesity,Stress,Inflammation,"1.Thus, a low-fat low-cholesterol strategy may be particularly efficacious in lowering the plasma cholesterol levels of those subjects carrying the apoE4 allele at the APOE gene.  HDL-cholesterol (HDL-C) levels are also modulated by dietary, behavioural and genetic factors.","1. RESULTS: Evidence from some key factors in lipid metabolism (apolipoprotein E [APOE])and obesity (perilipin [PLIN]) indicates that the interplay between genes, gender, and environmental factors modulates disease susceptibility.","1. Using the -501 to -481 nucleotide sequence of the APOE promoter as a 'bait' to screen the human brain cDNA library by yeast one-hybrid system yielded ATF4, an endoplasmic reticulum stress response gene, as one of the interacting factors.","1. In women, waist circumference was correlated with significantly lower language and/or semantic categorization performance (P<0.0001), executive functioning (P=0.026), and overall cognition (P=0.003) after controlling for age, education, BMI, and cardiovascular, diabetes-related,APOE4, and inflammatory potential confounders.",15070444,18156097,22028770,27149905
