Gene_ID,Gene_symbol,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
1636,ACE,angiotensin I converting enzyme,"DCP, ICH, ACE1, DCP1, CD143, MVCD3",17,37351
59272,ACE2,angiotensin I converting enzyme 2,ACEH,X,41448
94,ACVRL1,activin A receptor type II-like 1,"HHT,  ALK1,  HHT2,  ORW2,  SKR3,  ALK-1,  TSR-I,  ",12,20058
102,ADAM10,ADAM metallopeptidase domain 10,"RAK, kuz, AD10, AD18, MADM, CD156c, HsT18717",15,865
6868,ADAM17,ADAM metallopeptidase domain 17,"CSVP,  TACE,  NISBD,  ADAM18,  CD156B,  NISBD1",2,2395
11093,ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13","VWFCP, C9orf8, vWF-CP, ADAM-TS13, ADAMTS-13",9,16372
116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),PACAP,18,869
125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide","ADH2, HEL-S-117",4,133563
9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing","ACDC, ADPN, APM1, APM-1, GBP28, ACRP30, ADIPQTL1",3,3525
133,ADM,adrenomedullin,"AM, PAMP",11,873
173,AFM,afamin,"ALF, ALB2, ALBA",4,"881
"
177,AGER,advanced glycosylation end product-specific receptor,RAGE,6,883
183,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","ANHU, SERPINA8",1,14
185,AGTR1,"angiotensin II receptor, type 1","AT1,  AG2S,  AT1B,  AT1R,  AT1AR,  AT1BR,  AT2R1, ",3,3556
10598,AHSA1,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)","p38, AHA1, hAha1, C14orf3",14,8106
197,AHSG,alpha-2-HS-glycoprotein,"AHS, A2HS, HSGA, FETUA",3,1225
231,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)","AR, ADR, ALR2, ALDR1",7,133743
57016,AKR1B10,"aldo-keto reductase family 1, member B10 (aldose reductase)","HIS,  HSI,  ARL1,  ARL-1,  ALDRLn,  AKR1B11,  AKR1",7,116462
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,"AKT,  PKB,  RAC,  CWS6,  PRKBA,  PKB-ALPHA,  RAC-A",14,3785
213,ALB,albumin,"FDAH, ANALBA, PRO0883, PRO0903, PRO1341",4,405
214,ALCAM,activated leukocyte cell adhesion molecule,MEMD CD166,3,1229
216,ALDH1A1,"aldehyde dehydrogenase 1 family, member A1","ALDC, ALDH1, HEL-9, HEL12, PUMB1, ALDH11, RALDH1, ",9,110441
217,ALDH2,aldehyde dehydrogese 2 family (mitochondrial),"ALDM,  ALDHI,  ALDH-E2",12,55480
239,ALOX12,"arachidonate 12-lipoxygenase, 12S type","LOG12, 12-LOX, 12S-LOX",17,560
241,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,FLAP,13,1231
249,ALPL,"alkaline phosphatase, liver/bone/kidney","HOPS, TP, APTP, TNSALP, AP-TP",1,37314
259,AMBP,alpha-1-microglobulin/bikunin precursor,"A1M, HCP, ITI, UTI, EDC1, HI30, ITIL, IATIL, ITILC",9,1234
283,ANG,"angiogenin, ribonuclease, RNase A family, 5","ALS9, RAA1, HEL168, RNASE4, RNASE5",14,74385
23452,ANGPTL2,angiopoietin-like 2,"ARP2, HARP",9,22695
51129,ANGPTL4,angiopoietin-like 4,"NL2, ARP4, FIAF, HARP, PGAR, HFARP, TGQTL, UNQ171,",19,10755
314,AOC2,"amine oxidase, copper containing 2 (retina-specific)","RAO, DAO2",17,56457
324,APC,adenomatous polyposis coli,"GS, DP2, DP3, BTPS2, DP2.5, PPP1R46",5,30950
187,APLNR,apelin receptor,"APJ, APJR, HG11, AGTRL1",11,3784
341,APOC1,apolipoprotein C-I,"Apo-CI, ApoC-I",19,136749
345,APOC3,apolipoprotein C-III,"HALP2, APOCIII",11,81615
348,APOE,apolipoprotein E,"AD2,  LPG,  LDLCQ5",19,30951
8542,APOL1,apolipoprotein L1,"APOL, APO-L, FSGS4, APOL-I",22,
26060,APPL1,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1","APPL, DIP13alpha",3,32143
359,AQP2,aquaporin 2,AQP-CD WCH-CD,12,20137
362,AQP5,aquaporin 5,"PPKB, AQP-5",12,20398
367,AR,androgen receptor,"KD, AIS, AR8, TFM, DHTR, SBMA, HYSP1, NR3C4, SMAX1",X,28
468,ATF4,activating transcription factor 4,"CREB2, TXREB, CREB-2, TAXREB67",22,1266
567,B2M,beta-2-microglobulin,NONE,15,2987
25805,BAMBI,BMP and activin membrane-bound inhibitor,NMA,10,8215
10409,BASP1,"brain abundant, membrane attached signal protein 1","CAP23, NAP22, CAP-23, NAP-22",5,38168
596,BCL2,B-cell CLL/lymphoma 2,"Bcl-2, PPP1R50",18,527
652,BMP4,bone morphogenetic protein 4,"ZYME,BMP2B,OFC11,BMP2B1,MCOPS6",14,7247
718,C3,complement C3  ,ASP C3a C3b AHUS5 ARMD9 CPAMD1 HEL-S-62p,19,"68031
"
727,C5,complement component 5,"C5D, C5a, C5b, ECLZB, CPAMD4",9,20412
10498,CARM1,coactivator-associated arginine methyltransferase 1,PRMT4,19,10990
847,CAT,catalase,NONE,11,55514
857,CAV1,"caveolin 1, caveolae protein, 22kDa","CGL3, PPH3, BSCL3, LCCNS, VIP21, MSTP085",7,1330
885,CCK,cholecystokinin,,3,583
886,CCKAR,cholecystokinin A receptor,"CCK-A,  CCKRA,  CCK1-R",4,37337
6347,CCL2,chemokine (C-C motif) ligand 2,"HC11, MCAF, MCP1, MCP-1, SCYA2, GDCF-2, SMC-CF, HS",17,2245
6364,CCL20,chemokine (C-C motif) ligand 20,"CKb4,  LARC,  ST38,  MIP3A,  MIP-3a,  SCYA20,  MIP",2,3375
6352,CCL5,C-C motif chemokine ligand 5,"SISd, eoCP, SCYA5, RANTES, TCP228, D17S136E, SIS-d",17,2244
1230,CCR1,chemokine (C-C motif) receptor 1,"CKR1, CD191, CKR-1, HM145, CMKBR1, MIP1aR, SCYAR1",3,20344
729230,CCR2,chemokine (C-C motif) receptor 2,"CKR2, CCR-2, CCR2A, CCR2B, CD192, CKR2A, CKR2B, CM",3,537
1234,CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),"CKR5, CCR-5, CD195, CKR-5, CCCKR5, CMKBR5, IDDM22,",3,37325
23607,CD2AP,CD2-associated protein,CMS,6,7663
948,CD36,CD36 molecule (thrombospondin receptor),"FAT, GP4, GP3B, GPIV, CHDS7, PASIV, SCARB3, BDPLT1",7,73871
952,CD38,CD38 molecule,T10,4,1345
959,CD40LG,CD40 ligand,"IGM,IMD3,TRAP,gp39,CD154,
CD40L,
HIGM1,T-BAM,
T",X,56
961,CD47,CD47 molecule,"IAP, OA3, MER6",3,1346
967,CD63,CD63 molecule,"MLA1, ME491, LAMP-3, OMA81H, TSPAN30",12,37526
968,CD68,CD68 molecule,"GP110, LAMP4, SCARD1",17,955
969,CD69,CD69 molecule,"AIM, EA1, MLR-3, CLEC2C, GP32/28, BL-AC/P26",12,128584
972,CD74,"CD74 molecule, major histocompatibility complex, class II invariant chain","II, DHLAG, HLADG, Ia-GAMMA",5,3209
941,CD80,CD80 molecule,"B7, BB1, B7-1, B7.1, LAB7, CD28LG, CD28LG1",3,3804
999,CDH1,"cadherin 1, type 1","UVO, CDHE, ECAD, LCAM, Arc-1, CD324",16,20917
1000,CDH2,"cadherin 2, type 1, N-cadherin (neuronal)","CDHN, NCAD, CD325, CDw325",18,20424
1022,CDK7,cyclin-dependent kinase 7,"CAK1, HCAK, MO15, STK1, CDKN7, p39MO15",5,1363
