Gene_ID,Gene_symbol,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
1636,ACE,angiotensin I converting enzyme,"DCP,  ICH,  ACE1,  DCP1,  CD",17,37351
125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide","ADH2,  HEL-S-117",4,133563
9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing","ACDC,  ADPN,  APM1,  APM-1",3,3525
133,ADM,adrenomedullin,"AM,  PAMP",11,873
151,ADRA2B,adrenoceptor alpha 2B,"FAME2,  ADRA2L1,  ADRARL",2,553
177,AGER,advanced glycosylation end product-specific receptor,RAGE,6,883
183,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","ANHU,  SERPI8",1,14
231,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)","AR,  ADR,  ALR2,  ALDR1",7,110647
213,ALB,albumin,"FDAH,  ANALBA,  PRO0883,  ",4,405
217,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),"ALDM,  ALDHI,  ALDH-E2",12,55480
8862,APLN,apelin,"APEL,XNPEP2",X,8498
335,APOA1,apolipoprotein A,apo(a),11,47900
338,APOB,apolipoprotein B,"FLDB,  LDLCQ4,  apoB-48,  ",2,328
348,APOE,apolipoprotein E,"AD2,  LPG,  APO-E,  LDLCQ5",19,30951
443,ASPA,aspartoacylase,"ASP,  ACY2",17,33
488,ATP2A2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2","DD,  DAR,  ATP2B,  SERCA2",12,80167
623,BDKRB1,bradykinin receptor B1,"B1R,  BKR1,  B1BKR,  BKB1R",14,570
624,BDKRB2,bradykinin receptor B2,"B2R,  BK2,  BK-2,  BKR2,  BR",14,519
627,BDNF,brain-derived neurotrophic factor,"ANON2,  BULN2",11,7245
641,BLM,BLM RecQ like helicase,"BS, RECQ2, RECQL2, RECQL3, MGRISCE1",15,"47902
"
708,C1QBP,complement C1q binding protein,"p32, HABP1, gC1qR, GC1QBP, SF2p32, gC1Q-R, COXPD33, SF2AP32",17,"31023
"
8912,CACNA1H,"calcium channel, voltage-dependent, T type, alpha 1H subunit","ECA6,  EIG6,  Cav3.2,  CAC",16,56913
857,CAV1,caveolin 1,"CGL3,  PPH3,  BSCL3,  LCCN",7,1330
885,CCK,cholecystokinin,,3,583
6347,CCL2,chemokine (C-C motif) ligand 2,"HC11,  MCAF,  MCP1,  MCP-1",17,2245
9332,CD163,CD163 molecule,"M130,  MM130",12,128811
947,CD34,CD34 molecule,,1,1343
1268,CNR1,cannabinoid receptor 1 (brain),"CB1,  CNR,  CB-R,  CB1A,  CB",6,7273
1269,CNR2,cannabinoid receptor 2,"CB2,  CX5,  CB-2",1,1389
1270,CNTF,ciliary neurotrophic factor,HCNTF,11,8288
1392,CRH,corticotropin releasing hormone,"CRF,  CRH1",8,599
1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,"p38,  CRKII",17,81850
1401,CRP,"C-reactive protein, pentraxin-related",PTX1,1,128039
1490,CTGF,Connective Tissue Growth Factor,CCN2 NOV2 HCS24 IGFBP8,6,1490
3627,CXCL10,chemokine (C-X-C motif) ligand 10,"C7,  IFI10,  INP10,  IP-10",4,1203
1649,DDIT3,DNA damage inducible transcript 3,"CHOP,  CEBPZ,  CHOP10,  CH",12,3012
8788,DLK1,delta like non-canonical Notch ligand 1,"DLK, FA1, ZOG, pG2, DLK-1, PREF1, Delta1, Pref-1",14,"2846
"
1906,EDN1,endothelin 1,"ET1,  QME,  PPET1,  ARCND3",6,1476
2022,ENG,endoglin,"END,HHT1,ORW1",9,92
5168,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,"ATX,  NPP2,  ATX-X,  PDNP2",8,4526
2056,EPO,erythropoietin,"EP,  MVCD2",7,624
2064,ERBB2,erb-b2 receptor tyrosine kinase 2,"NEU,  NGL,  HER2,  TKR1,  CD",17,3273
11082,ESM1,endothelial cell specific molecule 1,endocan,5,5107
2157,F8,"coagulation factor VIII, procoagulant component","AHF,  F8B,  F8C,  HEMA,  FVI",X,49153
2346,FOLH1,folate hydrolase (prostate-specific membrane antigen) 1,"PSM,  FGCP,  FOLH,  GCP2,  P",11,136782
2539,G6PD,glucose-6-phosphate dehydrogenase,G6PD1,X,37906
2596,GAP43,growth associated protein 43,"B-50,  PP46",3,1545
2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,"G3PD,  GAPD,  HEL-S-162eP",12,107053
2629,GBA,glucosylceramidase beta,"GCB, GBA1, GLUC",1,"68040
"
2645,GCK,glucokinase,"GK,  GLK,  HK4,  HHF3,  HKIV,  HXKP,  LGLK,  MODY2,  FGQTL3",7,55440
2668,GDNF,glial cell derived neurotrophic factor,"ATF1,  ATF2,  HSCR3,  HFB1",5,433
2670,GFAP,glial fibrillary acidic protein,ALXDRD,17,1554
2675,GFRA2,GDNF family receptor alpha 2,"NTNRA, RETL2, TRNR2, GDNFRB, NRTNR-ALPHA",8,"131781
"
2678,GGT1,gamma-glutamyltransferase 1,"GGT,  GTG,  CD224,  GGT,  1,  ",22,68450
2695,GIP,gastric inhibitory polypeptide,,17,3043
2696,GIPR,gastric inhibitory polypeptide receptor,PGQTL2,19,20081
2739,GLO1,glyoxalase I,"GLYI,  GLOD1,  HEL-S-74",6,4880
2740,GLP1R,glucagon like peptide 1 receptor,,6,1558
610,HCN2,hyperpolarization activated cyclic nucleotide gated potassium channel 2,"BCNG2,  HAC-1,  BCNG-2",19,31022
3082,HGF,hepatocyte growth factor (hepapoietin A; scatter factor),"SF,  HGFB,  HPTA,  F-TCF,  DFNB39",7,503
3162,HMOX1,heme oxygenase 1,HSP32 HMOX1D bK286B10,22,
3269,HRH1,histamine receptor H1,"H1R,  H1-R,  HH1R,  hisH1",3,668
3274,HRH2,histamine receptor H2,H2R,5,40613
3309,HSPA5,heat shock protein family A (Hsp70) member 5,"BIP,  MIF2,  GRP78,  HEL-S",9,3908
10525,HYOU1,hypoxia up-regulated 1,"Grp170,  HSP12A,  ORP150",11,4658
3458,IFNG,"interferon, gamma","IFG,  IFI",12,55526
3479,IGF1,insulin like growth factor 1,"MGF,  IGFI,  IGF-I",12,515
3481,IGF2,insulin like growth factor 2,"GRDF,  IGF-II,  PP9974,  C",11,510
3488,IGFBP5,insulin like growth factor binding protein 5,IBP5,2,56489
3586,IL10,interleukin 10,"CSIF,  TGIF,  GVHDS,  IL-1",1,478
3565,IL4,interleukin 4,"BSF1,  IL-4,  BCGF1,  BSF-",5,491
3569,IL6,interleukin 6,"HGF,  HSF,  BSF2,  IL-6,  IFNB2",7,502
3654,IRAK1,interleukin 1 receptor associated kise 1,"IRAK,  pelle",X,37496
8660,IRS2,insulin receptor substrate 2,IRS-2,13,2778
55600,ITLN1, intelectin 1,HL1 LFR HL-1 INTL ITLN hIntL omentin,1,135852
3767,KCNJ11,"potassium channel, inwardly rectifying subfamily J, member 11","BIR,  HHF2,  PHHI,  IKATP,  ",11,441
3952,LEP,leptin,"OB,  OBS,  LEPD",7,193
4023,LPL,lipoprotein lipase,"LIPD,  HDLCQ11",8,200
4035,LRP1,LDL receptor related protein 1,"APR, KPA, LRP, A2MR, CD91, APOER, LRP1A, TGFBR5, IGFBP3R, IGFBP-3R, IGFBP3R1",12,1744
