Gene_ID,Gene_symbol,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
19,ABCA1,ATP binding cassette subfamily A member 1,"TGD, ABC1, CERP, ABC-1, HDLDT1",9,21130
9619,ABCG1,ATP binding cassette,"ABC8, WHITE1",21,21022
28,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","GTB, NAGAT, A3GALNT, A3GALT1",9,69306
1636,ACE,angiotensin I converting enzyme,"DCP, ICH, ACE1, DCP1, CD143, MVCD3",17,37351
59272,ACE2,angiotensin I conver,ACEH,X,41448
130399,ACVR1C,activin A receptor type 1C,"ALK7, ACVRLK7",2,26724
111,ADCY5,adenylate cyclase 5,"AC5, FDFM",3,11213
9370,ADIPOQ,"adiponectin, C1Q and","ACDC, ADPN, APM1, APM-1",3,3525
51094,ADIPOR1,adiponectin receptor,"CGI45, PAQR1, ACDCR1, C",1,69199
79602,ADIPOR2,adiponectin receptor 2,PAQR2 ACDCR2,12,56119
177,AGER,advanced glycosylation end product-specific receptor,RAGE,6,883
64902,AGXT2,alanine--glyoxylate aminotransferase 2,AGT2 DAIBAT,5,12887
10598,AHSA1,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)","p38, AHA1, hAha1, C14orf3",14,8106
197,AHSG,alpha-2-HS-glycoprotein,"AHS, A2HS, HSGA, FETUA",3,1225
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,"AKT,  PKB,  RAC,  CWS6,  PRKBA,  PKB-ALPHA,  RAC-ALPHA",14,3785
217,ALDH2,aldehyde dehydrogena,"ALDM, ALDHI, ALDH-E2",12,55480
239,ALOX12,"arachidonate 12-lipoxygenase, 12S type","LOG12, 12-LOX, 12S-LOX",17,560
80216,ALPK1,alpha kinase 1,"LAK, 8430410J10Rik",4,11849
308,ANXA5,annexin A5,"PP4,ANX5,ENX2,RPRGL3,HEL-S-7",4,20312
335,APOA1,apolipoprotein A-I,apo(a),11,47900
116519,APOA5,apolipoprotein A-V,"RAP3, APOAV",11,14197
338,APOB,apolipoprotein B,"FLDB,  LDLCQ4,  apoB-48,  apoB-100",2,328
345,APOC3,apolipoprotein C-III,"HALP2, APOCIII",11,81615
348,APOE,apolipoprotein E,"AD2, LPG, APO-E, LDLCQ5",19,30951
350,APOH,apolipoprotein H (be,"BG, B2G1, B2GP1",17,26
