Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Diet,1636,ACE,Angiotensin I converting enzyme,DCP ACE1 DCP1 CD143,17,37351
Diet,59272,ACE2,angiotensin I converting enzyme 2 ,ACEH,X,41448
Diet,9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing ","ACDC, ADPN, APM1, APM-1, GBP28, ACRP30, ADIPQTL1",3,3525
Diet,177,AGER,advanced glycosylation end product-specific receptor ,RAGE,6,883
Diet,217,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),"ALDM, ALDHI, ALDH-E2",12,55480
Diet,348,APOE,apolipoprotein E ,"AD2, LPG, APO-E, LDLCQ5",19,30951
Diet,350,APOH,apolipoprotein H (be,"BG,  B2G1,  B2GP1",17,26
Diet,948,CD36,CD36 molecule ,"FAT, GP4, GP3B, GPIV, CHDS7, PASIV, SCARB3, BDPLT10",7,73871
Diet,958,CD40,"CD40 molecule, TNF receptor superfamily member 5 ","p50, Bp50, CDW40, TNFRSF5",20,954
Diet,54901,CDKAL1,CDK5 regulatory subunit associated protein 1-like 1 ,,6,9830
Diet,1071,CETP,"cholesteryl ester transfer protein, plasma ","BPIFF, HDLCQ10",16,47904
Diet,1116,CHI3L1,chitinase 3 like 1,"GP39, ASRT7, GP-39, YKL40, CGP-39, YKL-40, YYL-40, HC-gp39, HCGP-3P, hCGP-39",1,55569
Diet,1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog ,"p38, CRKII",17,81850
Diet,1401,CRP,"C-reactive protein, pentraxin-related",PTX1,1,128039
Diet,1649,DDIT3,D-damage-inducible transcript 3,"CHOP,  CEBPZ,  CHOP10,  CHOP-10,  GADD153",12,3012
Diet,1803,DPP4,dipeptidyl-peptidase 4,"CD26,  ADABP,  ADCP2,  DPPIV,  TP103",2,3279
Diet,2056,EPO,erythropoietin ,"EP, MVCD2",7,624
Diet,2167,FABP4,"fatty acid binding protein 4, adipocyte ","aP2, ALBP, AFABP, A-FABP, HEL-S-104",8,36067
Diet,2171,FABP5,fatty acid binding protein 5 (psoriasis-associated) ,"EFABP, KFABP, E-FABP, PAFABP, PA-FABP",8,108238
Diet,2867,FFAR2,free fatty acid receptor 2 ,"FFA2R, GPR43",19,133911
Diet,9965,FGF19,fibroblast growth factor 19,,11,3754
Diet,26291,FGF21,fibroblast growth factor 21,,19,10428
Diet,79068,FTO,fat mass and Obesity associated ,"GDFD, ALKBH9",16,8053
Diet,2539,G6PD,glucose-6-phosphate dehydrogenase,G6PD1,X,37906
Diet,2646,GCKR,glucokinase (hexokinase 4) regulator,"GKRP,  FGQTL5",2,1139
Diet,2678,GGT1,gamma-glutamyltransferase 1 ,"GGT, GTG, CD224, GGT, 1, D22S672, D22S732",22,68450
Diet,2695,GIP,gastric inhibitory polypeptide,,17,3043
Diet,2876,GPX1,glutathione peroxidase 1 ,"GPXD, GSHPX1",3,20155
Diet,3479,IGF1,insulin like growth factor 1 ,"MGF, IGFI, IGF-I",12,515
Diet,3606,IL18,interleukin 18 ,"IGIF, IL-18, IL-1g, IL1F4",11,1200
